tx_a,tx_b,rq1-3_search,tod_overall,tod_approximation,property_gain_and_loss
0x03bb3f2eb0ececcb71ace79a4b28bb978b64263eaa079e4be349813ced27be1f,0x58d8af22352b12b344273d8a29e7281725a9a46344040a759d72335116026558,True,True,True,True
0x03c1cf3c35b4f01aad440dd0f1e1ee162332b5e60f30cbb492b77bccf6c39b89,0xbfe14dc2a9d55f8993510cc223ac70885df137cf6a6f3e3e1f2113a2d5dd87db,True,False,True,False
0x03c30d871c80e8e1cd58df69ab4b8b131b0a0b304f99b9794814b2e42b27eef0,0x4090213993f2e08f4574f8de221a45fd8162f36bdbd575aab4ccaa4d9edbb584,True,True,True,True
0x03c30d871c80e8e1cd58df69ab4b8b131b0a0b304f99b9794814b2e42b27eef0,0xa0a7068922386d1e6ec90cb39e95519d65ce0c606dc45c4342fd81a7ef2d4521,True,True,True,True
0x03ce82440968ae026ffc7c29ed02e9efc4ebd932f1cda35d0ec8b9a9512c2fcc,0x053cc5522ea017cb1b9622ff4aa406cfd9041ffe6fbc0f7ae3e2575da3adb2d0,True,True,True,True
0x03ce82440968ae026ffc7c29ed02e9efc4ebd932f1cda35d0ec8b9a9512c2fcc,0x9ba240e87527e2217050a04b2211458c4c691da116b159d9bec8d104edb50f24,True,True,True,True
0x03d3a33be233974f43ce01de6ab4b5ab70ec3e6fae3703df3342e9530b280f59,0xb8e7e89a22ea025aba545394ac68fc40a3a18052466be6ffb7aeb079accd798d,True,True,True,True
0x03d3a33be233974f43ce01de6ab4b5ab70ec3e6fae3703df3342e9530b280f59,0xfd93c323fc980711debce55bd6f679002d65943b002e057f7331ff4ff1bd396e,True,True,True,True
0x03e91cbb49acddbf188284500ed1eb5ce6bb697c5ae69c7c9f0b8ec148cc4d59,0x7653d539d38ed972405dd5a2f32c8ee91741254566f8ecaa1d361064318523bd,True,True,True,True
0x03ea46bd77f8d009fa0bfe5f957a61b7796d10f5937368d81d75004aede9f225,0x29415b4749949808e9ab9aaf66499b50cfa64863bc246d2b4727ab6423c4398e,True,True,True,True
0x03f380a0a4202cb61f9e6f3425947978f752f7b9c5c1f0dba3639f356447d95d,0xba812167baa3fb5faea7196878cd41f0e9407f08280f0e0eb0cfc6d3558e683b,True,True,True,True
0x03f81a1230387ce80c2600fae2ef9bebb3573a176da007cf515ea9a0d88e8343,0x8c5c1c3cf871efdd4b0158a5a99018a005dd40763d8eb296e34b39eeab9ec2f5,True,False,False,False
0x040ca2e8a81f8c15f19bbade9263f4351143e8c6a18d6659c9a4dff81cf6dbdb,0x9a109b57b5849b4b4e5e9993518c7762307dd49f890cd5473eeaf8494cbd14fd,True,True,True,True
0x04119ea374f4941e180a404634def8d4bde788a65676c74248031e848d42ffaf,0x82f8ef55554d527572136b28e7bf2b0f22212a58f93ed491b375a8c8b5528de5,True,True,True,True
0x0412c278f4a38c425c4f1eca402fddb036cce9dafbc61b870497cd168afbfad7,0x67bd97a52efae5afc4a727d10c44c29eafe002f01811c0857a983f3a743f1498,True,True,True,True
0x0437d88a12b7cfde027fa77c38c2b112e819d3f7ce1b6d4b05f3ed2b1eb37e5c,0x12c255d30ebd55dc2bae16f1991d7722220a94d1ff9b9e4f8c02df0527436775,True,True,True,True
0x0437d88a12b7cfde027fa77c38c2b112e819d3f7ce1b6d4b05f3ed2b1eb37e5c,0x5d86e34b8fba58e254f63b3ded25cd823261c5647e633b1989f024fa2c6fddad,True,True,True,True
0x0437d88a12b7cfde027fa77c38c2b112e819d3f7ce1b6d4b05f3ed2b1eb37e5c,0x60c4a9c78c80b9daf1a6ff1b93ecba6907861f990c23cfde851f67d0cdf78bf8,True,True,True,True
0x043c78e41cb8751ff4d99a7616e217c546593a8fbcc7220421aead9113a179f7,0x4fd592d04bf3b7f4a1efa162563155941a993a1415e591eccf0c20306d7facfe,True,True,True,True
