tx_a,tx_b,result
0x070dc2ca95269f57d61f6c8a78827eb97c0889d7b9b81d124cea197482d0a188,0xcc40d5c6902bcd68fbc2b21e5dcde51bfce4fd17ab3b8baeaefe7f157de658fe,TOD
0x07524eedc4512d207898464b8681b5c8e3635c4584d9e04ea233288322f64b30,0x629a07f82f581ed79f5b5f76a90bfff0db5efd8226fc992b04bdf0c79811eb3c,not TOD
0x06f983f827b5f639af789bd831be3dd839571d6fc2e90b4b43da9e490fd7d60d,0xded2175b7a4e32d02240e41d0c26dee12dd1656a3901c7cf2a33cf5b2cb36cc1,not TOD
0x07ac903fb0f24eda5137c46924fbcbcf7c6295d005eb555efd8317f38590ef9b,0xc11157a678130c8993e6dc4b236e9ba20c48aefaa38095427478c71a2e191ffb,not TOD
0x07eafc077262ee827099e31208d5e6f93e07d9500619d89fedbf43342ebb7278,0x4c51fae194774d9ab0e32de8324b8bd9f881e079114f4285096e4599526f33e5,not TOD
0x07f471f5ecc7243713b19a3c9c6abb3e72bc96b5fc33ebbc57214e86fbc0dc2e,0xe66cde4e5b64be687d69a5a3f2c3bab9418142d5898c2f49fd0c1907a8a964a2,TOD
0x07e4a9f45ab4e619e4377870f5eeadafe6c0f7c723a70ea0d82b6bcd28180ef8,0xac68dea9ac5d0e9509aa7af02301d1119e9cd9b3b10376a0056e5752b6ce38a1,insufficient ether replay detected
0x086144c6269b117483263f5857602b41f29802309db726bd7a26f0555776fa6b,0x8d59a3f0557fabd8b68e48531a3ba760c609843a73af1e71e16de4718af939db,insufficient ether replay detected
0x08264da79678d1820d53e887481f2955890320b82eab8a2638b7c8633d7f5a53,0xf339d3de5c7b6e6518a32bb45d4606ea3c3cc6d040b856986f9bb09131ac91b5,TOD
0x061eef97d92adbbfff056406bae4882cd048bc42d0556e586dde0d604e2a3741,0x61120c369503a9f161c590af5fbd47c0bfff0cc42ce253a6d58069da1e79528a,TOD
0x05b9800a5125296917d821296b3ac2a528c32fae88e15c3702b9c9822fd53cda,0x2ecc85221d8ffbc810fdd93f473c8655437e63346ec198ab26006cf10c3b786d,TOD
0x07412e7a27bc0d72b456c0eb93b8189da4e5d1fccb9b59f8059568cf1f796270,0xab2a1ee054e9db6187608b33c28a0a5b5e59c07f93a2c1a2959371043257dd9a,not TOD
0x09b8de85ba357a377e806b728e6c47e78360db97c15033f7478ea517d87fbb92,0x61e6350445cde946ea6fe4c39a84b6bbb24d316d14c4550feb4e93bee09d60c4,insufficient ether replay detected
0x06579bf6dd272638fbb020d79ca67d30dddb2571c5307d6135890864eefdb355,0xcc758a513178da73884ed8ba71ed8e1630bf0723c710bda8dcfe01edf61703ee,TOD
0x09ac9bcb260669a283ff22a4b4ad5f9b39b39c04a5398c9f58b7c700c4c6c94a,0x6cb7eee7a55326cefd616db9136dbbf6124948b9517ee146b27b43c25feaef97,insufficient ether replay detected
0x086f025ebf60efedc95a01eb631a2e7510afc97b7c572c9163ac3d61281ace97,0xe4add62d3ddfba9fd6bbc8a154bbb05e17dfa399f24b62bbbd8fcdea39c1fbf9,TOD
0x07e554f4774b44d56cdf6f1ef6d0801b66531471f2ac70674d1bbf6d9bba940c,0x4f416c04c53649af7e9d6557f972bc1304af660c7bc7283a2ec303783cc63417,insufficient ether replay detected
