tx_write_hash,tx_access_hash,block_dist,types
0x01d425276bb6836af6ecbe01c3a71cd0d473d28d230c3bfe475b91ee341464b0,0xccc7cbe4a97014d5445ea469596bd22bd74c02dcaa9076e79798a7b1fd1dfe97,0,balance
0x01d8b84b6da82624121177e5bca3c3d2dc323055180b6124883f3ad8820d7918,0xda3b5d357f2935361a4c08df892852a041713d4e5e7bb22bee5ca3f76a3f7f2e,0,balance
0x01e89d6e29f43f571b9c366da7fe1c6164d95334ef693802342480c13d03ddb2,0x667238054e401a4e2f86c13e04a49b82aae2f68a72006b616a92a10f4db08821,0,storage
0x01e89d6e29f43f571b9c366da7fe1c6164d95334ef693802342480c13d03ddb2,0xfcc037a01d67792649a353ff6e14ae905247afb6e76c25be810e965e59fafc7d,0,storage
0x01eb0405dd44defc08c864aa8c2aa286823630fa6b6a2fd7a07abe675912426e,0x1cc7c5d6485fdbb52eade251efb356e2af37d04416924400f953cf264c063063,0,storage
0x0201e736bf5369e4067f5149af5f8a811f8fe376ea43c5871698fc99185feaee,0x7e77ef41ff05420c75b623c796fa4b39bff1c62dcc5af632d739d44fa63f0f55,0,storage
0x022b2109d7d9de082258f46e81b7e9aa51cef08585c991a99373a5e1e5efe8b6,0x91ebfa8057877c198a4ad7869ebd11634426bf9981cbc5805fa4bc7359425a34,0,storage
0x022b49ef9530bde5cc97a5c8e03b8eed469668b4ed7530783127871e1592bb95,0x026d6369799ef129e632a442b29a92c843625e12d3f62a56a6646b531b211b0f,2,storage
0x022b49ef9530bde5cc97a5c8e03b8eed469668b4ed7530783127871e1592bb95,0xd30330e044fc968569538e064cb310f9b9dc1f701f64b717b1fa7bd08a44089d,18,storage
0x0235e0c212d6963ec98d36e9e363063f71879c2916b55a4458aaf042e6b23fb6,0x6e406c19bb3c461df0d4f1d830d745fc12dc3ff08fb616d213b586e5fb0bc9e9,0,storage
0x024456a9a9a99d72d407e778e05ca47a553114758b862471084c374770d227a3,0xa1eddf36353924ef0ca9a4f427ea698d590dcd5e2d91eebd17787bb2ff5e1378,2,storage
0x024620dbc217b2be6b76e489d788a9f29d319d5236b9e8320f36546b9c3a6b05,0xe45762266ecf0baddf11402103db6e74b7ad0b53f5689f6d542ec9105a80e9e9,0,balance
0x024909a9d6eb868c665a0708fe64af08f9cfef36c400149f10fd59cdafabb586,0xf2f80a27c3108f445aeab38fce00174f5c54c595f5fd46ed159479082748b80b,0,balance|storage
0x026419f836e153b0251068385e44bc335d9b65978beca00871f49fff974a8354,0x51f4b1fb6598b238a3e4327075dce2dbedbe7e38bb41cce2437abf885d0fd844,1,storage
0x0265c2c3c94e5b9a268f56f56e40c81b0387aa99a0c0d2c54c21a718e4aee0c3,0x4a15031b5ad5cf1553b91c31df5f152bb5f8c28b8a8d84d1373b77ac627d055d,6,storage
0x0266d5e287f09ef7698f462f7dd1cfd715ec05472cba02f45b4d91535f20034d,0xce3bf2be17af849e15d74305ec78278d45cf52f727f48ae54d5971e14e9a908e,11,storage
0x026acfca91591cbf36a2235686bb47fee73b96f89f9d8e5391e9f96a4da50c0b,0x69c5449b9633f021bc0de4efa1e9dfd83903e204ab9f387f45e5c2172ead28b4,0,balance|storage
0x026acfca91591cbf36a2235686bb47fee73b96f89f9d8e5391e9f96a4da50c0b,0x90669a5f8dba25645befc255c85ef9636308f611f05eed5a102caa6c009c7daa,0,balance
0x026d6369799ef129e632a442b29a92c843625e12d3f62a56a6646b531b211b0f,0xbeef4493dbaa6f179fb1b8dd766b02d75f8e09816c0e2bc4fe723770f33f74c0,5,storage
0x026d6369799ef129e632a442b29a92c843625e12d3f62a56a6646b531b211b0f,0xc2cc3182697feb86caa0957b2fb0c63d3d8aee9f9e88d7af1ca6d897db6f56b8,1,storage
0x028a337c0927a03216d2022a7eb766b28ad221e09385225c16c6d2c2e08e5a86,0xaed7ccdef3fd32a10e5ac3000b424f18feb092618fa37108ed5cd1cda608d1bc,1,balance
0x02996e34e9aed046f12b22b090397acddaa22a708a4159f8ed54f6972057fcfd,0x4691c3f6aa278dff3d4dd1ab4087021841d71778ae31d102116b5c18993d010f,0,balance
0x02d489d98b06d690c152159c4f646d93e4f5e52e2f7f2dd72fc668837968adad,0x168837ddf5fafc92d2827a114f2d3e056fa802c8561a840d329b7ec1838964b1,0,balance
0x02d489d98b06d690c152159c4f646d93e4f5e52e2f7f2dd72fc668837968adad,0x7ae84a20e6c947f726b837e55ebac489f9b8b245f40247f276bbc9c91285bb44,0,balance
